## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
1031,All the Light We Cannot See,Fiction,Anthony Doerr,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,14,2014,1,,,,,,,,,,,,
1032,All the Light We Cannot See,Fiction,Anthony Doerr,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,14,2015,1,,,,,,,,,,,,
1033,Allegiant,Fiction,Veronica Roth,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,13,2013,1,,,,,,,,,,,,
1034,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Non Fiction,Chris Kyle,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,9,2015,1,,,,,,,,,,,,
1035,And the Mountains Echoed,Fiction,Khaled Hosseini,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,13,2013,1,,,,,,,,,,,,
1036,Arguing with Idiots: How to Stop Small Minds and Big Government,Non Fiction,Glenn Beck,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2009,1,,,,,,,,,,,,
1037,Astrophysics for People in a Hurry,Non Fiction,Neil deGrasse Tyson,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,9,2017,1,,,,,,,,,,,,
1038,"Autobiography of Mark Twain, Vol. 1",Non Fiction,Mark Twain,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,14,2010,1,,,,,,,,,,,,
1039,Baby Touch and Feel: Animals,Non Fiction,DK,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2015,1,,,,,,,,,,,,
1040,Balance (Angie's Extreme Stress Menders),Non Fiction,Angie Grace,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2015,1,,,,,,,,,,,,
1041,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Non Fiction,Ina Garten,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,24,2012,1,,,,,,,,,,,,
1042,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Non Fiction,Ina Garten,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,21,2010,1,,,,,,,,,,,,
1043,Becoming,Non Fiction,Michelle Obama,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2018,1,,,,,,,,,,,,
1044,Becoming,Non Fiction,Michelle Obama,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2019,1,,,,,,,,,,,,
1045,Being Mortal: Medicine and What Matters in the End,Non Fiction,Atul Gawande,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2015,1,,,,,,,,,,,,
1046,Between the World and Me,Non Fiction,Ta-Nehisi Coates,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,13,2015,1,,,,,,,,,,,,
1047,Between the World and Me,Non Fiction,Ta-Nehisi Coates,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,13,2016,1,,,,,,,,,,,,
1048,Born to Run,Non Fiction,Bruce Springsteen,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,18,2016,1,,,,,,,,,,,,
1049,"Breaking Dawn (The Twilight Saga, Book 4)",Fiction,Stephenie Meyer,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,13,2009,1,,,,,,,,,,,,
1050,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Non Fiction,Glenn Beck,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2010,1,,,,,,,,,,,,
1051,"Brown Bear, Brown Bear, What Do You See?",Fiction,Bill Martin Jr.,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2017,1,,,,,,,,,,,,
1052,"Brown Bear, Brown Bear, What Do You See?",Fiction,Bill Martin Jr.,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2019,1,,,,,,,,,,,,
1053,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Fiction,Jeff Kinney,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,0,2011,1,,,,,,,,,,,,
1054,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Non Fiction,Sasha O'Hara,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2016,1,,,,,,,,,,,,
1055,Can't Hurt Me: Master Your Mind and Defy the Odds,Non Fiction,David Goggins,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,18,2019,1,,,,,,,,,,,,
1056,Capital in the Twenty First Century,Non Fiction,Thomas Piketty,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,28,2014,1,,,,,,,,,,,,
1057,Catching Fire (The Hunger Games),Fiction,Suzanne Collins,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2010,1,,,,,,,,,,,,
1058,Catching Fire (The Hunger Games),Fiction,Suzanne Collins,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2011,1,,,,,,,,,,,,
1059,Catching Fire (The Hunger Games),Fiction,Suzanne Collins,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2012,1,,,,,,,,,,,,
1060,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Non Fiction,Chrissy Teigen,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,16,2016,1,,,,,,,,,,,,
1061,Crazy Love: Overwhelmed by a Relentless God,Non Fiction,Francis Chan,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,14,2009,1,,,,,,,,,,,,
1062,Crazy Love: Overwhelmed by a Relentless God,Non Fiction,Francis Chan,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,14,2010,1,,,,,,,,,,,,
1063,Crazy Love: Overwhelmed by a Relentless God,Non Fiction,Francis Chan,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,14,2011,1,,,,,,,,,,,,
1064,Crazy Rich Asians (Crazy Rich Asians Trilogy),Fiction,Kevin Kwan,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2018,1,,,,,,,,,,,,
1065,Creative Haven Creative Cats Coloring Book (Adult Coloring),Non Fiction,Marjorie Sarnat,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2015,1,,,,,,,,,,,,
1066,Creative Haven Owls Coloring Book (Adult Coloring),Non Fiction,Marjorie Sarnat,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2015,1,,,,,,,,,,,,
1067,Cutting for Stone,Fiction,Abraham Verghese,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2010,1,,,,,,,,,,,,
1068,Cutting for Stone,Fiction,Abraham Verghese,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2011,1,,,,,,,,,,,,
1069,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Non Fiction,Brené Brown,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,10,2013,1,,,,,,,,,,,,
1070,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Non Fiction,Malcolm Gladwell,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,13,2013,1,,,,,,,,,,,,
1071,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Fiction,Charlaine Harris,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2009,1,,,,,,,,,,,,
1072,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Fiction,Charlaine Harris,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2010,1,,,,,,,,,,,,
1073,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Fiction,Charlaine Harris,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2011,1,,,,,,,,,,,,
1074,Dear Zoo: A Lift-the-Flap Book,Fiction,Rod Campbell,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2015,1,,,,,,,,,,,,
1075,Dear Zoo: A Lift-the-Flap Book,Fiction,Rod Campbell,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2016,1,,,,,,,,,,,,
1076,Dear Zoo: A Lift-the-Flap Book,Fiction,Rod Campbell,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2017,1,,,,,,,,,,,,
1077,Dear Zoo: A Lift-the-Flap Book,Fiction,Rod Campbell,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2018,1,,,,,,,,,,,,
1078,Decision Points,Non Fiction,George W. Bush,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,17,2010,1,,,,,,,,,,,,
1079,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Non Fiction,Tony Hsieh,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2010,1,,,,,,,,,,,,
1080,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Non Fiction,American Psychiatric Association,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,105,2013,1,,,,,,,,,,,,
1081,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Non Fiction,American Psychiatric Association,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,105,2014,1,,,,,,,,,,,,
1082,"Diary of a Wimpy Kid: Hard Luck, Book 8",Fiction,Jeff Kinney,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,0,2013,1,,,,,,,,,,,,
1083,Diary of a Wimpy Kid: The Last Straw (Book 3),Fiction,Jeff Kinney,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2009,1,,,,,,,,,,,,
1084,Diary of a Wimpy Kid: The Long Haul,Fiction,Jeff Kinney,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,22,2014,1,,,,,,,,,,,,
1085,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),Non Fiction,M Prefontaine,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2019,1,,,,,,,,,,,,
1086,Divergent,Fiction,Veronica Roth,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2013,1,,,,,,,,,,,,
1087,Divergent,Fiction,Veronica Roth,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2014,1,,,,,,,,,,,,
1088,Divergent / Insurgent,Fiction,Veronica Roth,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,6,2014,1,,,,,,,,,,,,
1089,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Non Fiction,Zhi Gang Sha,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,6,2009,1,,,,,,,,,,,,
1090,Doctor Sleep: A Novel,Fiction,Stephen King,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,13,2013,1,,,,,,,,,,,,
1091,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Fiction,Jeff Kinney,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,12,2009,1,,,,,,,,,,,,
1092,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Fiction,Dav Pilkey,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,6,2018,1,,,,,,,,,,,,
1093,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Fiction,Dav Pilkey,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2017,1,,,,,,,,,,,,
1094,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Fiction,Dav Pilkey,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2018,1,,,,,,,,,,,,
1095,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Fiction,Dav Pilkey,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2019,1,,,,,,,,,,,,
1096,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Fiction,Dav Pilkey,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2019,1,,,,,,,,,,,,
1097,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Fiction,Dav Pilkey,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2019,1,,,,,,,,,,,,
1098,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Fiction,Dav Pilkey,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,6,2018,1,,,,,,,,,,,,
1099,Double Down (Diary of a Wimpy Kid #11),Fiction,Jeff Kinney,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,20,2016,1,,,,,,,,,,,,
1100,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Non Fiction,Marty Noble,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2015,1,,,,,,,,,,,,
1101,Drive: The Surprising Truth About What Motivates Us,Non Fiction,Daniel H. Pink,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,16,2010,1,,,,,,,,,,,,
1102,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Non Fiction,David Zinczenko,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,1,2009,1,,,,,,,,,,,,
1103,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Non Fiction,David Zinczenko,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,14,2009,1,,,,,,,,,,,,
1104,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Non Fiction,Joel Fuhrman MD,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,9,2011,1,,,,,,,,,,,,
1105,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Non Fiction,Joel Fuhrman MD,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,9,2012,1,,,,,,,,,,,,
1106,Eclipse (Twilight Sagas),Fiction,Stephenie Meyer,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,7,2009,1,,,,,,,,,,,,
1107,Eclipse (Twilight),Fiction,Stephenie Meyer,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,18,2009,1,,,,,,,,,,,,
1108,Educated: A Memoir,Non Fiction,Tara Westover,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2018,1,,,,,,,,,,,,
1109,Educated: A Memoir,Non Fiction,Tara Westover,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2019,1,,,,,,,,,,,,
1110,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Non Fiction,Johanna Basford,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,9,2015,1,,,,,,,,,,,,
1111,Fahrenheit 451,Fiction,Ray Bradbury,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2016,1,,,,,,,,,,,,
1112,Fahrenheit 451,Fiction,Ray Bradbury,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,8,2018,1,,,,,,,,,,,,
1113,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),Fiction,J.K. Rowling,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,15,2016,1,,,,,,,,,,,,
1114,Fear: Trump in the White House,Non Fiction,Bob Woodward,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,2,2018,1,,,,,,,,,,,,
1115,Fifty Shades Darker,Fiction,E L James,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,7,2012,1,,,,,,,,,,,,
1116,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),Fiction,E L James,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,11,2012,1,,,,,,,,,,,,
1117,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Fiction,E L James,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,14,2012,1,,,,,,,,,,,,
1118,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Fiction,E L James,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,14,2013,1,,,,,,,,,,,,
1119,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),Fiction,E L James,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,32,2012,1,,,,,,,,,,,,
1120,Fire and Fury: Inside the Trump White House,Non Fiction,Michael Wolff,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,6,2018,1,,,,,,,,,,,,
1121,First 100 Words,Non Fiction,Roger Priddy,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2014,1,,,,,,,,,,,,
1122,First 100 Words,Non Fiction,Roger Priddy,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2015,1,,,,,,,,,,,,
1123,First 100 Words,Non Fiction,Roger Priddy,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2016,1,,,,,,,,,,,,
1124,First 100 Words,Non Fiction,Roger Priddy,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2017,1,,,,,,,,,,,,
1125,First 100 Words,Non Fiction,Roger Priddy,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2018,1,,,,,,,,,,,,
1126,Food Rules: An Eater's Manual,Non Fiction,Michael Pollan,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,9,2010,1,,,,,,,,,,,,
1127,Frozen (Little Golden Book),Fiction,RH Disney,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,0,2014,1,,,,,,,,,,,,
1128,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Non Fiction,John Heilemann,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,9,2010,1,,,,,,,,,,,,
1129,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fiction,George R.R. Martin,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2011,1,,,,,,,,,,,,
1130,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fiction,George R.R. Martin,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2012,1,,,,,,,,,,,,
1131,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fiction,George R.R. Martin,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,5,2013,1,,,,,,,,,,,,
1132,George Washington's Sacred Fire,Non Fiction,Peter A. Lillback,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,20,2010,1,,,,,,,,,,,,
1133,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Non Fiction,Brian Kilmeade,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,16,2013,1,,,,,,,,,,,,
1134,Giraffes Can't Dance,Fiction,Giles Andreae,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2015,1,,,,,,,,,,,,
1135,Giraffes Can't Dance,Fiction,Giles Andreae,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2016,1,,,,,,,,,,,,
1136,Giraffes Can't Dance,Fiction,Giles Andreae,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2017,1,,,,,,,,,,,,
1137,Giraffes Can't Dance,Fiction,Giles Andreae,https://lacountylibrary.org/wp-content/uploads/2020/11/More-bks-URL-1536x864.png,4,2018,1,,,,,,,,,,,,
